date,team,opponent,runs_for,runs_against,win
2024-04-23,ATL,MIA,4,3,TRUE
2024-04-23,CHC,HOU,3,5,FALSE
2024-04-23,KCR,TOR,2,1,TRUE
2024-04-23,MIN,CHW,0,5,FALSE
2024-04-23,STL,ARI,1,2,FALSE
2024-04-23,TEX,SEA,3,6,FALSE
2024-04-23,COL,SDP,6,0,TRUE
2024-04-23,LAA,BAL,1,8,FALSE
2024-04-23,SFG,NYM,4,2,TRUE
2024-04-24,STL,ARI,2,5,FALSE
2024-04-24,SFG,NYM,1,0,TRUE
2024-04-24,LAA,BAL,0,2,FALSE
2024-04-24,CLE,BOS,0,2,FALSE
2024-04-24,CIN,PHI,4,6,FALSE
2024-04-24,PIT,MIL,8,3,TRUE
2024-04-24,WSN,LAD,1,7,FALSE
2024-04-24,TBR,DET,5,5,FALSE
2024-04-24,NYY,OAK,5,0,TRUE
2024-04-24,ATL,MIA,7,2,TRUE
2024-04-24,CHC,HOU,4,9,FALSE
2024-04-24,KCR,TOR,1,4,FALSE
2024-04-24,MIN,CHW,0,3,FALSE
2024-04-24,TEX,SEA,2,2,FALSE
2024-04-24,COL,SDP,2,3,FALSE
2024-04-25,PIT,MIL,6,1,TRUE
2024-04-25,CLE,BOS,2,4,FALSE
2024-04-25,CIN,PHI,5,4,TRUE
2024-04-25,MIN,CHW,1,1,FALSE
2024-04-25,KCR,TOR,2,7,FALSE
2024-04-25,CHC,HOU,12,3,TRUE
2024-04-25,TEX,SEA,11,8,TRUE
2024-04-25,COL,SDP,9,6,TRUE
2024-04-25,WSN,LAD,2,5,FALSE
2024-04-25,NYY,OAK,10,11,FALSE
2024-04-26,DET,KCR,7,0,TRUE
2024-04-26,BAL,OAK,2,11,FALSE
2024-04-26,TOR,LAD,0,4,FALSE
2024-04-26,BOS,CHC,0,0,FALSE
2024-04-26,NYM,STL,2,0,TRUE
2024-04-26,MIA,WSN,6,4,TRUE
2024-04-26,ATL,CLE,5,11,FALSE
2024-04-26,CHW,TBR,2,13,FALSE
2024-04-26,TEX,CIN,4,3,TRUE
2024-04-26,MIL,NYY,9,7,TRUE
2024-04-26,LAA,MIN,5,3,TRUE
2024-04-26,SEA,ARI,4,5,FALSE
2024-04-26,SDP,PHI,6,4,TRUE
2024-04-26,SFG,PIT,8,1,TRUE
2024-04-27,TOR,LAD,4,5,FALSE
2024-04-27,BAL,OAK,1,1,FALSE
2024-04-27,NYM,STL,5,1,TRUE
2024-04-27,TEX,CIN,3,0,TRUE
2024-04-27,BOS,CHC,4,7,FALSE
2024-04-27,MIA,WSN,3,8,FALSE
2024-04-27,COL,HOU,1,0,TRUE
2024-04-27,DET,KCR,3,6,FALSE
2024-04-27,CHW,TBR,5,1,TRUE
2024-04-27,MIL,NYY,3,1,TRUE
2024-04-27,ATL,CLE,2,1,TRUE
2024-04-27,SDP,PHI,4,3,TRUE
2024-04-27,SFG,PIT,2,2,FALSE
2024-04-27,LAA,MIN,1,11,FALSE
2024-04-27,SEA,ARI,2,3,FALSE
2024-04-28,BAL,OAK,8,3,TRUE
2024-04-28,ATL,CLE,2,3,FALSE
2024-04-28,TOR,LAD,5,4,TRUE
2024-04-28,DET,KCR,2,3,FALSE
2024-04-28,NYM,STL,3,0,TRUE
2024-04-28,MIA,WSN,0,0,FALSE
2024-04-28,CHW,TBR,2,2,FALSE
2024-04-28,MIL,NYY,4,1,TRUE
2024-04-28,TEX,CIN,3,3,FALSE
2024-04-28,COL,HOU,1,2,FALSE
2024-04-28,SFG,PIT,3,4,FALSE
2024-04-28,LAA,MIN,4,2,TRUE
2024-04-28,SEA,ARI,7,5,TRUE
2024-04-28,SDP,PHI,2,2,FALSE
2024-04-28,BOS,CHC,2,3,FALSE
2024-04-29,BAL,NYY,7,7,FALSE
2024-04-29,DET,STL,3,13,FALSE
2024-04-29,MIA,WSN,4,4,FALSE
2024-04-29,TOR,KCR,8,3,TRUE
2024-04-29,NYM,CHC,5,11,FALSE
2024-04-29,CHW,MIN,5,6,FALSE
2024-04-29,MIL,TBR,5,2,TRUE
2024-04-29,LAA,PHI,0,3,FALSE
2024-04-29,ARI,LAD,0,8,FALSE
2024-04-29,OAK,PIT,1,4,FALSE
2024-04-29,SDP,CIN,6,3,TRUE
2024-04-29,SEA,ATL,1,7,FALSE
2024-04-30,BAL,NYY,3,4,FALSE
2024-04-30,DET,STL,1,4,FALSE
2024-04-30,MIA,COL,3,0,TRUE
2024-04-30,TOR,KCR,2,4,FALSE
2024-04-30,NYM,CHC,5,3,TRUE
2024-04-30,BOS,SFG,3,6,FALSE
2024-04-30,CHW,MIN,4,1,TRUE
2024-04-30,MIL,TBR,3,1,TRUE
2024-04-30,TEX,WSN,2,2,FALSE
2024-04-30,HOU,CLE,3,6,FALSE
2024-04-30,LAA,PHI,2,6,FALSE
2024-04-30,ARI,LAD,3,0,TRUE
2024-04-30,OAK,PIT,1,11,FALSE
2024-04-30,SDP,CIN,0,7,FALSE
2024-04-30,SEA,ATL,1,2,FALSE
2024-05-01,DET,STL,4,2,TRUE
2024-05-01,MIL,TBR,0,5,FALSE
2024-05-01,CHW,MIN,2,6,FALSE
2024-05-01,TOR,KCR,4,0,TRUE
2024-05-01,OAK,PIT,6,6,FALSE
2024-05-01,SEA,ATL,12,1,TRUE
2024-05-01,LAA,PHI,0,0,FALSE
2024-05-01,SDP,CIN,3,5,FALSE
2024-05-01,BAL,NYY,2,2,FALSE
2024-05-01,MIA,COL,2,1,TRUE
2024-05-01,NYM,CHC,7,7,FALSE
2024-05-01,BOS,SFG,2,2,FALSE
2024-05-01,TEX,WSN,1,3,FALSE
2024-05-01,HOU,CLE,3,4,FALSE
2024-05-01,ARI,LAD,0,8,FALSE
2024-05-02,MIA,COL,2,7,FALSE
2024-05-02,BAL,NYY,4,8,FALSE
2024-05-02,NYM,CHC,4,4,FALSE
2024-05-02,BOS,SFG,0,6,FALSE
2024-05-02,TEX,WSN,5,4,TRUE
2024-05-02,HOU,CLE,1,2,FALSE
2024-05-03,CHC,MIL,2,3,FALSE
2024-05-03,CIN,BAL,4,9,FALSE
2024-05-03,PIT,COL,14,1,TRUE
2024-05-03,PHI,SFG,5,1,TRUE
2024-05-03,WSN,TOR,6,6,FALSE
2024-05-03,TBR,NYM,5,2,TRUE
2024-05-03,NYY,DET,2,14,FALSE
2024-05-03,CLE,LAA,0,8,FALSE
2024-05-03,KCR,TEX,4,3,TRUE
2024-05-03,HOU,SEA,0,5,FALSE
2024-05-03,MIN,BOS,1,3,FALSE
2024-05-03,STL,CHW,2,2,FALSE
2024-05-03,ARI,SDP,8,3,TRUE
2024-05-03,OAK,MIA,6,5,TRUE
2024-05-03,LAD,ATL,3,9,FALSE
2024-05-04,NYY,DET,0,1,FALSE
2024-05-04,MIN,BOS,6,6,FALSE
2024-05-04,STL,CHW,10,1,TRUE
2024-05-04,CHC,MIL,5,4,TRUE
2024-05-04,PIT,COL,4,5,FALSE
2024-05-04,WSN,TOR,2,2,FALSE
2024-05-04,OAK,MIA,2,5,FALSE
2024-05-04,PHI,SFG,7,0,TRUE
2024-05-04,CLE,LAA,1,3,FALSE
2024-05-04,CIN,BAL,4,3,TRUE
2024-05-04,KCR,TEX,0,2,FALSE
2024-05-04,HOU,SEA,2,7,FALSE
2024-05-04,TBR,NYM,0,4,FALSE
2024-05-04,ARI,SDP,4,6,FALSE
2024-05-04,LAD,ATL,0,2,FALSE
2024-05-05,PIT,COL,5,2,TRUE
2024-05-05,WSN,TOR,2,3,FALSE
2024-05-05,NYY,DET,9,3,TRUE
2024-05-05,CLE,LAA,9,1,TRUE
2024-05-05,TBR,NYM,4,2,TRUE
2024-05-05,HOU,SEA,4,6,FALSE
2024-05-05,KCR,TEX,7,2,TRUE
2024-05-05,MIN,BOS,8,8,FALSE
2024-05-05,STL,CHW,0,4,FALSE
2024-05-05,CHC,MIL,1,1,FALSE
2024-05-05,OAK,MIA,3,2,TRUE
2024-05-05,CIN,BAL,0,0,FALSE
2024-05-05,ARI,SDP,0,6,FALSE
2024-05-05,LAD,ATL,4,0,TRUE
2024-05-05,PHI,SFG,2,2,FALSE
2024-05-06,PHI,SFG,4,4,FALSE
2024-05-06,CLE,DET,1,4,FALSE
2024-05-06,PIT,LAA,5,4,TRUE
2024-05-06,TBR,CHW,6,5,TRUE
2024-05-06,CHC,SDP,6,2,TRUE
2024-05-06,MIN,SEA,3,7,FALSE
2024-05-06,KCR,MIL,2,1,TRUE
2024-05-06,STL,NYM,0,7,FALSE
2024-05-06,OAK,TEX,2,1,TRUE
2024-05-06,LAD,MIA,3,0,TRUE
2024-05-07,OAK,TEX,4,6,FALSE
2024-05-07,CLE,DET,7,8,FALSE
2024-05-07,CIN,ARI,3,4,FALSE
2024-05-07,PIT,LAA,1,3,FALSE
2024-05-07,PHI,TOR,0,4,FALSE
2024-05-07,WSN,BAL,6,6,FALSE
2024-05-07,TBR,CHW,3,1,TRUE
2024-05-07,NYY,HOU,4,4,FALSE
2024-05-07,ATL,BOS,0,4,FALSE
2024-05-07,CHC,SDP,3,4,FALSE
2024-05-07,MIN,SEA,1,2,FALSE
2024-05-07,KCR,MIL,9,5,TRUE
2024-05-07,STL,NYM,11,3,TRUE
2024-05-07,COL,SFG,0,0,FALSE
2024-05-07,LAD,MIA,0,4,FALSE
2024-05-08,PIT,LAA,1,6,FALSE
2024-05-08,PHI,TOR,2,5,FALSE
2024-05-08,CLE,DET,5,3,TRUE
2024-05-08,STL,NYM,0,5,FALSE
2024-05-08,KCR,MIL,3,3,FALSE
2024-05-08,CHC,SDP,5,2,TRUE
2024-05-08,LAD,MIA,13,6,TRUE
2024-05-08,OAK,TEX,5,5,FALSE
2024-05-08,OAK,TEX,0,4,FALSE
2024-05-08,CIN,ARI,1,3,FALSE
2024-05-08,WSN,BAL,5,5,FALSE
2024-05-08,TBR,CHW,0,0,FALSE
2024-05-08,NYY,HOU,0,4,FALSE
2024-05-08,ATL,BOS,7,2,TRUE
2024-05-08,MIN,SEA,2,3,FALSE
2024-05-08,COL,SFG,5,4,TRUE
2024-05-09,CIN,ARI,6,5,TRUE
