away,home,date
SDP,ARI,2024-05-03
MIA,OAK,2024-05-03
ATL,LAD,2024-05-03
DET,NYY,2024-05-04
BOS,MIN,2024-05-04
CHW,STL,2024-05-04
MIL,CHC,2024-05-04
COL,PIT,2024-05-04
TOR,WSN,2024-05-04
MIA,OAK,2024-05-04
SFG,PHI,2024-05-04
LAA,CLE,2024-05-04
BAL,CIN,2024-05-04
TEX,KCR,2024-05-04
SEA,HOU,2024-05-04
NYM,TBR,2024-05-04
SDP,ARI,2024-05-04
ATL,LAD,2024-05-04
COL,PIT,2024-05-05
TOR,WSN,2024-05-05
DET,NYY,2024-05-05
LAA,CLE,2024-05-05
NYM,TBR,2024-05-05
SEA,HOU,2024-05-05
TEX,KCR,2024-05-05
BOS,MIN,2024-05-05
CHW,STL,2024-05-05
MIL,CHC,2024-05-05
MIA,OAK,2024-05-05
BAL,CIN,2024-05-05
SDP,ARI,2024-05-05
ATL,LAD,2024-05-05
SFG,PHI,2024-05-05
SFG,PHI,2024-05-06
DET,CLE,2024-05-06
LAA,PIT,2024-05-06
CHW,TBR,2024-05-06
SDP,CHC,2024-05-06
SEA,MIN,2024-05-06
MIL,KCR,2024-05-06
NYM,STL,2024-05-06
TEX,OAK,2024-05-06
MIA,LAD,2024-05-06
TEX,OAK,2024-05-07
DET,CLE,2024-05-07
ARI,CIN,2024-05-07
LAA,PIT,2024-05-07
TOR,PHI,2024-05-07
BAL,WSN,2024-05-07
CHW,TBR,2024-05-07
HOU,NYY,2024-05-07
BOS,ATL,2024-05-07
SDP,CHC,2024-05-07
SEA,MIN,2024-05-07
MIL,KCR,2024-05-07
NYM,STL,2024-05-07
SFG,COL,2024-05-07
MIA,LAD,2024-05-07
LAA,PIT,2024-05-08
TOR,PHI,2024-05-08
DET,CLE,2024-05-08
NYM,STL,2024-05-08
MIL,KCR,2024-05-08
SDP,CHC,2024-05-08
MIA,LAD,2024-05-08
TEX,OAK,2024-05-08
TEX,OAK,2024-05-08
ARI,CIN,2024-05-08
BAL,WSN,2024-05-08
CHW,TBR,2024-05-08
HOU,NYY,2024-05-08
BOS,ATL,2024-05-08
SEA,MIN,2024-05-08
SFG,COL,2024-05-08
ARI,CIN,2024-05-09
SEA,MIN,2024-05-09
SFG,COL,2024-05-09
HOU,NYY,2024-05-09
CLE,CHW,2024-05-09
STL,MIL,2024-05-09
KCR,LAA,2024-05-09
HOU,DET,2024-05-10
CHC,PIT,2024-05-10
NYY,TBR,2024-05-10
ARI,BAL,2024-05-10
MIN,TOR,2024-05-10
WSN,BOS,2024-05-10
ATL,NYM,2024-05-10
PHI,MIA,2024-05-10
CLE,CHW,2024-05-10
STL,MIL,2024-05-10
TEX,COL,2024-05-10
KCR,LAA,2024-05-10
LAD,SDP,2024-05-10
OAK,SEA,2024-05-10
CIN,SFG,2024-05-10
MIN,TOR,2024-05-11
ARI,BAL,2024-05-11
CHC,PIT,2024-05-11
WSN,BOS,2024-05-11
ATL,NYM,2024-05-11
PHI,MIA,2024-05-11
NYY,TBR,2024-05-11
HOU,DET,2024-05-11
CLE,CHW,2024-05-11
CIN,SFG,2024-05-11
STL,MIL,2024-05-11
TEX,COL,2024-05-11
LAD,SDP,2024-05-11
KCR,LAA,2024-05-11
OAK,SEA,2024-05-11
ARI,BAL,2024-05-12
WSN,BOS,2024-05-12
CHC,PIT,2024-05-12
MIN,TOR,2024-05-12
HOU,DET,2024-05-12
PHI,MIA,2024-05-12
NYY,TBR,2024-05-12
CLE,CHW,2024-05-12
STL,MIL,2024-05-12
TEX,COL,2024-05-12
CIN,SFG,2024-05-12
KCR,LAA,2024-05-12
LAD,SDP,2024-05-12
OAK,SEA,2024-05-12
ATL,NYM,2024-05-12
TOR,BAL,2024-05-13
MIA,DET,2024-05-13
TBR,BOS,2024-05-13
PHI,NYM,2024-05-13
CHC,ATL,2024-05-13
WSN,CHW,2024-05-13
PIT,MIL,2024-05-13
CLE,TEX,2024-05-13
OAK,HOU,2024-05-13
STL,LAA,2024-05-13
CIN,ARI,2024-05-13
COL,SDP,2024-05-13
KCR,SEA,2024-05-13
LAD,SFG,2024-05-13
PHI,NYM,2024-05-14
TOR,BAL,2024-05-14
MIA,DET,2024-05-14
TBR,BOS,2024-05-14
CHC,ATL,2024-05-14
WSN,CHW,2024-05-14
NYY,MIN,2024-05-14
PIT,MIL,2024-05-14
CLE,TEX,2024-05-14
OAK,HOU,2024-05-14
STL,LAA,2024-05-14
CIN,ARI,2024-05-14
COL,SDP,2024-05-14
KCR,SEA,2024-05-14
LAD,SFG,2024-05-14
TOR,BAL,2024-05-15
MIA,DET,2024-05-15
PIT,MIL,2024-05-15
WSN,CHW,2024-05-15
CIN,ARI,2024-05-15
COL,SDP,2024-05-15
KCR,SEA,2024-05-15
NYM,PHI,2024-05-15
TBR,BOS,2024-05-15
CHC,ATL,2024-05-15
NYY,MIN,2024-05-15
CLE,TEX,2024-05-15
OAK,HOU,2024-05-15
STL,LAA,2024-05-15
LAD,SFG,2024-05-15
NYY,MIN,2024-05-16
NYM,PHI,2024-05-16
TBR,BOS,2024-05-16
PIT,CHC,2024-05-16
OAK,HOU,2024-05-16
CIN,LAD,2024-05-16
PIT,CHC,2024-05-17
WSN,PHI,2024-05-17
SEA,BAL,2024-05-17
CHW,NYY,2024-05-17
TBR,TOR,2024-05-17
MIN,CLE,2024-05-17
NYM,MIA,2024-05-17
SDP,ATL,2024-05-17
OAK,KCR,2024-05-17
LAA,TEX,2024-05-17
MIL,HOU,2024-05-17
BOS,STL,2024-05-17
DET,ARI,2024-05-17
CIN,LAD,2024-05-17
COL,SFG,2024-05-17
CHW,NYY,2024-05-18
PIT,CHC,2024-05-18
TBR,TOR,2024-05-18
SEA,BAL,2024-05-18
COL,SFG,2024-05-18
NYM,MIA,2024-05-18
WSN,PHI,2024-05-18
MIN,CLE,2024-05-18
OAK,KCR,2024-05-18
MIL,HOU,2024-05-18
BOS,STL,2024-05-18
LAA,TEX,2024-05-18
SDP,ATL,2024-05-18
DET,ARI,2024-05-18
CIN,LAD,2024-05-18
SEA,BAL,2024-05-19
WSN,PHI,2024-05-19
CHW,NYY,2024-05-19
TBR,TOR,2024-05-19
MIN,CLE,2024-05-19
NYM,MIA,2024-05-19
OAK,KCR,2024-05-19
MIL,HOU,2024-05-19
BOS,STL,2024-05-19
PIT,CHC,2024-05-19
LAA,TEX,2024-05-19
COL,SFG,2024-05-19
DET,ARI,2024-05-19
CIN,LAD,2024-05-19
SDP,ATL,2024-05-19
SDP,ATL,2024-05-20
CHW,TOR,2024-05-20
NYM,CLE,2024-05-20
MIL,MIA,2024-05-20
MIN,WSN,2024-05-20
BOS,TBR,2024-05-20
SEA,NYY,2024-05-20
DET,KCR,2024-05-20
BAL,STL,2024-05-20
LAA,HOU,2024-05-20
ARI,LAD,2024-05-20
NYM,CLE,2024-05-21
SDP,CIN,2024-05-21
SFG,PIT,2024-05-21
TEX,PHI,2024-05-21
MIL,MIA,2024-05-21
MIN,WSN,2024-05-21
BOS,TBR,2024-05-21
SEA,NYY,2024-05-21
CHW,TOR,2024-05-21
DET,KCR,2024-05-21
ATL,CHC,2024-05-21
BAL,STL,2024-05-21
LAA,HOU,2024-05-21
COL,OAK,2024-05-21
ARI,LAD,2024-05-21
MIN,WSN,2024-05-22
NYM,CLE,2024-05-22
BAL,STL,2024-05-22
LAA,HOU,2024-05-22
DET,KCR,2024-05-22
SDP,CIN,2024-05-22
SFG,PIT,2024-05-22
TEX,PHI,2024-05-22
MIL,MIA,2024-05-22
BOS,TBR,2024-05-22
SEA,NYY,2024-05-22
CHW,TOR,2024-05-22
ATL,CHC,2024-05-22
COL,OAK,2024-05-22
ARI,LAD,2024-05-22
SFG,PIT,2024-05-23
SEA,NYY,2024-05-23
