player,year,age,team,league,war,wins,losses,win_loss_percentage,earned_run_average,games,games_started,games_finished,complete_games,shoutouts,saves,innings_pitched,hits,runs,earned_runs,home_runs,walks,intentional_walks,strikeouts,hit_by_pitch,balks,wild_pitches,batters_faced,era_plus,fip,whip,hits_per9,home_runs_per9,walks_per9,strikeouts_per9,strikeout_walk_ratio
Cam Booser*,2024,32,BOS,AL,0.8,2,3,0.4,3.38,43,0,7,0,0,1,42.2,41,17,16,5,16,1,43,0,0,0,183,125.0,3.8,1.336,8.6,1.1,3.4,9.1,2.69
Tommy Kahnle,2024,34,NYY,AL,0.8,0,2,0.0,2.11,50,0,8,0,0,1,42.2,30,16,10,5,19,1,46,2,0,1,179,192.0,4.01,1.148,6.3,1.1,4.0,9.7,2.42
Sam Long*,2024,28,KCR,AL,0.7,3,3,0.5,3.16,43,0,5,0,0,1,42.2,34,17,15,5,17,1,44,1,1,3,176,131.0,3.89,1.195,7.2,1.1,3.6,9.3,2.59
Tim Mayza*,2024,32,2TM,AL,-1.2,0,2,0.0,6.33,50,0,12,0,0,0,42.2,54,34,30,5,15,2,28,1,0,1,195,65.0,4.5,1.617,11.4,1.1,3.2,5.9,1.87
Tim Mayza*,2024,32,TOR,AL,-1.2,0,1,0.0,8.03,35,0,8,0,0,0,24.2,36,24,22,3,12,2,16,0,0,1,121,52.0,4.91,1.946,13.1,1.1,4.4,5.8,1.33
Tim Mayza*,2024,32,NYY,AL,0.0,0,1,0.0,4.0,15,0,4,0,0,0,18.0,18,10,8,2,3,0,12,1,0,0,74,103.0,3.94,1.167,9.0,1.0,1.5,6.0,4.0
Xzavion Curry,2024,25,2TM,2LG,0.2,2,2,0.5,4.64,16,5,3,0,0,0,42.2,38,23,22,8,7,1,28,0,0,1,172,91.0,4.78,1.055,8.0,1.7,1.5,5.9,4.0
Xzavion Curry,2024,25,CLE,AL,-0.3,0,2,0.0,5.84,7,4,3,0,0,0,24.2,29,17,16,5,5,1,15,0,0,1,108,70.0,5.19,1.378,10.6,1.8,1.8,5.5,3.0
Xzavion Curry,2024,25,MIA,NL,0.5,2,0,1.0,3.0,9,1,0,0,0,0,18.0,9,6,6,3,2,0,13,0,0,0,64,146.0,4.22,0.611,4.5,1.5,1.0,6.5,6.5
Adam Oller,2024,29,MIA,NL,0.4,2,4,0.333,5.31,8,8,0,0,0,0,42.1,43,25,25,7,22,0,36,2,0,1,189,82.0,5.32,1.535,9.1,1.5,4.7,7.7,1.64
Eli Morgan,2024,28,CLE,AL,1.1,3,0,1.0,1.93,32,0,9,0,0,0,42.0,30,11,9,4,11,1,34,1,0,0,167,210.0,3.64,0.976,6.4,0.9,2.4,7.3,3.09
Darren McCaughan,2024,28,2TM,2LG,-0.4,0,0,,6.21,12,5,5,0,0,2,42.0,53,32,29,9,15,0,28,6,0,2,195,70.0,6.12,1.619,11.4,1.9,3.2,6.0,1.87
Darren McCaughan,2024,28,MIA,NL,-0.2,0,0,,5.75,10,5,4,0,0,2,36.0,44,26,23,7,9,0,27,6,0,1,165,76.0,5.44,1.472,11.0,1.8,2.3,6.8,3.0
Darren McCaughan,2024,28,CLE,AL,-0.2,0,0,,9.0,2,0,1,0,0,0,6.0,9,6,6,2,6,0,1,0,0,1,30,48.0,10.17,2.5,13.5,3.0,9.0,1.5,0.17
Collin Snider,2024,28,SEA,AL,0.9,3,4,0.429,1.94,42,0,9,0,0,0,41.2,36,14,9,5,13,2,47,0,0,1,169,192.0,3.41,1.176,7.8,1.1,2.8,10.2,3.62
Edwin Uceta,2024,26,TBR,AL,1.9,2,0,1.0,1.51,30,0,10,0,0,5,41.2,26,8,7,2,8,0,57,1,0,0,159,266.0,1.7,0.816,5.6,0.4,1.7,12.3,7.13
Jordan Weems,2024,31,WSN,NL,-1.0,1,1,0.5,6.7,41,0,10,0,0,0,41.2,49,35,31,7,24,0,35,2,0,1,196,60.0,5.54,1.752,10.6,1.5,5.2,7.6,1.46
Austin Adams,2024,33,OAK,AL,0.5,1,2,0.333,3.92,56,0,6,0,0,0,41.1,38,20,18,4,23,2,53,13,0,6,191,101.0,4.47,1.476,8.3,0.9,5.0,11.5,2.3
Will Smith*,2024,34,KCR,AL,-0.9,0,4,0.0,6.53,45,0,13,0,0,1,41.1,45,31,30,7,15,2,29,3,0,0,186,63.0,5.27,1.452,9.8,1.5,3.3,6.3,1.93
