player,year,age,team,league,war,wins,losses,win_loss_percentage,earned_run_average,games,games_started,games_finished,complete_games,shoutouts,saves,innings_pitched,hits,runs,earned_runs,home_runs,walks,intentional_walks,strikeouts,hit_by_pitch,balks,wild_pitches,batters_faced,era_plus,fip,whip,hits_per9,home_runs_per9,walks_per9,strikeouts_per9,strikeout_walk_ratio
Daulton Jefferies,2024,28,SFG,NL,-0.6,0,2,0.0,17.36,2,1,0,0,0,0,4.2,14,13,9,2,2,0,4,0,0,0,31,24.0,8.31,3.429,27.0,3.9,3.9,7.7,2.0
Daulton Jefferies,2024,28,PIT,NL,-0.1,0,0,,6.3,4,0,2,0,0,0,10.0,10,7,7,2,2,0,8,1,0,0,42,69.0,5.07,1.2,9.0,1.8,1.8,7.2,4.0
Abner Uribe,2024,24,MIL,NL,-0.4,2,2,0.5,6.91,14,0,6,0,0,3,14.1,15,11,11,1,12,2,14,0,0,3,66,60.0,4.63,1.884,9.4,0.6,7.5,8.8,1.17
Brandon Williamson*,2024,26,CIN,NL,0.3,0,0,,3.77,4,3,0,0,0,0,14.1,10,7,6,4,5,0,12,2,0,0,59,120.0,6.58,1.047,6.3,2.5,3.1,7.5,2.4
Tyler Beede,2024,31,CLE,AL,-0.7,1,0,1.0,8.36,13,0,3,0,0,0,14.0,16,14,13,2,9,1,18,3,1,0,68,49.0,5.02,1.786,10.3,1.3,5.8,11.6,2.0
Deivi García,2024,25,CHW,AL,-0.7,1,2,0.333,7.07,14,0,3,0,0,1,14.0,16,16,11,2,11,1,15,0,0,4,68,60.0,5.24,1.929,10.3,1.3,7.1,9.6,1.36
Miguel Castro,2024,29,ARI,NL,-0.1,0,0,,5.93,11,0,2,0,0,0,13.2,20,9,9,3,3,0,8,1,0,0,64,72.0,5.73,1.683,13.2,2.0,2.0,5.3,2.67
Max Lazar,2024,25,PHI,NL,0.1,0,0,,4.61,11,0,5,0,0,0,13.2,13,7,7,2,2,0,9,0,0,0,54,94.0,4.19,1.098,8.6,1.3,1.3,5.9,4.5
Joely Rodríguez*,2024,32,BOS,AL,-0.5,0,1,0.0,5.93,14,0,2,0,0,0,13.2,19,13,9,3,2,0,12,1,0,1,64,72.0,4.92,1.537,12.5,2.0,1.3,7.9,6.0
Jordan Romano,2024,31,TOR,AL,-0.3,1,2,0.333,6.59,15,0,14,0,0,8,13.2,16,10,10,4,4,1,13,1,0,0,62,64.0,6.17,1.463,10.5,2.6,2.6,8.6,3.25
Darius Vines,2024,26,ATL,NL,-0.5,0,1,0.0,8.56,4,2,1,0,0,0,13.2,21,14,13,4,4,0,9,1,0,0,66,50.0,6.75,1.829,13.8,2.6,2.6,5.9,2.25
Matt Barnes,2024,34,WSN,NL,-0.2,0,0,,6.75,14,0,8,0,0,0,13.1,16,11,10,1,4,0,10,0,1,2,60,61.0,3.54,1.5,10.8,0.7,2.7,6.8,2.5
Nick Ramirez*,2024,34,LAD,NL,-0.3,0,0,,6.08,8,0,7,0,0,0,13.1,18,11,9,0,7,1,5,0,0,2,63,67.0,3.99,1.875,12.2,0.0,4.7,3.4,0.71
Nick Robertson,2024,25,2TM,2LG,0.1,0,0,,4.05,9,0,7,0,0,0,13.1,15,6,6,3,2,0,14,0,0,0,55,108.0,4.44,1.275,10.1,2.0,1.4,9.5,7.0
Nick Robertson,2024,25,STL,NL,0.0,0,0,,4.38,8,0,6,0,0,0,12.1,15,6,6,3,2,0,14,0,0,0,52,97.0,4.54,1.378,10.9,2.2,1.5,10.2,7.0
Nick Robertson,2024,25,TOR,AL,0.0,0,0,,0.0,1,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3,,3.17,0.0,0.0,0.0,0.0,0.0,
Anthony Veneziano*,2024,26,2TM,2LG,0.2,1,0,1.0,3.38,12,0,1,0,0,0,13.1,16,7,5,1,3,0,14,1,0,1,58,133.0,2.94,1.425,10.8,0.7,2.0,9.5,4.67
Anthony Veneziano*,2024,26,KCR,AL,0.0,0,0,,4.5,2,0,1,0,0,0,2.0,4,2,1,0,1,0,2,0,0,0,11,108.0,2.67,2.5,18.0,0.0,4.5,9.0,2.0
Anthony Veneziano*,2024,26,MIA,NL,0.2,1,0,1.0,3.18,10,0,0,0,0,0,11.1,12,5,4,1,2,0,12,1,0,1,47,140.0,2.99,1.235,9.5,0.8,1.6,9.5,6.0
Sam Aldegheri*,2024,22,LAA,AL,-0.3,1,2,0.333,4.85,3,3,0,0,0,0,13.0,15,12,7,2,10,0,10,2,0,2,67,89.0,6.4,1.923,10.4,1.4,6.9,6.9,1.0
Michael Mercado,2024,25,PHI,NL,-0.7,1,2,0.333,11.08,5,2,0,0,0,0,13.0,16,16,16,9,9,0,10,1,0,1,64,39.0,12.94,1.923,11.1,6.2,6.2,6.9,1.11
Ryan Miller,2024,28,LAA,AL,0.0,0,1,0.0,4.15,13,0,5,0,0,0,13.0,13,7,6,2,8,2,11,0,0,0,58,103.0,5.32,1.615,9.0,1.4,5.5,7.6,1.38
Tyler Mahle,2024,29,TEX,AL,0.1,0,1,0.0,4.97,3,3,0,0,0,0,12.2,14,7,7,1,4,0,10,1,0,1,56,80.0,3.8,1.421,9.9,0.7,2.8,7.1,2.5
Erik Sabrowski*,2024,26,CLE,AL,0.6,0,0,,0.0,8,0,4,0,0,1,12.2,6,0,0,0,4,0,19,0,0,1,47,,1.11,0.789,4.3,0.0,2.8,13.5,4.75
Seth Halvorsen,2024,24,COL,NL,0.6,2,1,0.667,1.46,12,0,8,0,0,2,12.1,8,3,2,2,2,0,13,1,1,0,46,326.0,3.9,0.811,5.8,1.5,1.5,9.5,6.5
Jimmy Herget,2024,30,ATL,NL,0.1,0,1,0.0,4.38,8,0,7,0,0,0,12.1,13,6,6,2,3,0,15,0,0,0,52,98.0,3.57,1.297,9.5,1.5,2.2,10.9,5.0
Luis Peralta*,2024,23,COL,NL,0.8,0,0,,0.73,15,0,1,0,0,0,12.1,7,1,1,0,5,0,14,2,0,2,49,652.0,2.6,0.973,5.1,0.0,3.6,10.2,2.8
Carlos Rodríguez,2024,22,MIL,NL,-0.4,0,3,0.0,7.3,3,3,0,0,0,0,12.1,19,11,10,3,3,0,9,0,0,0,57,57.0,5.6,1.784,13.9,2.2,2.2,6.6,3.0
Antonio Senzatela,2024,29,COL,NL,0.0,0,1,0.0,6.57,3,3,0,0,0,0,12.1,15,10,9,3,8,0,7,0,1,0,54,72.0,7.14,1.865,10.9,2.2,5.8,5.1,0.88
Nick Vespi*,2024,28,BAL,AL,0.2,0,0,,2.92,11,0,8,0,0,0,12.1,10,4,4,1,3,0,9,0,0,0,49,135.0,3.49,1.054,7.3,0.7,2.2,6.6,3.0
Josh Walker*,2024,29,NYM,NL,0.0,0,0,,5.11,10,0,5,0,0,0,12.1,13,7,7,1,6,0,11,0,1,2,55,78.0,3.9,1.541,9.5,0.7,4.4,8.0,1.83
Shane Bieber,2024,29,CLE,AL,0.7,2,0,1.0,0.0,2,2,0,0,0,0,12.0,10,0,0,0,1,0,20,0,0,0,45,,0.08,0.917,7.5,0.0,0.8,15.0,20.0
Ben Heller,2024,32,PIT,NL,-0.7,0,1,0.0,11.25,8,0,2,0,0,0,12.0,19,16,15,1,6,1,15,6,0,0,66,39.0,4.75,2.083,14.3,0.8,4.5,11.3,2.5
John McMillon,2024,26,MIA,NL,0.7,2,1,0.667,1.5,10,0,5,0,0,0,12.0,7,4,2,1,5,0,13,0,0,0,47,295.0,3.33,1.0,5.3,0.8,3.8,9.8,2.6
Zach Plesac,2024,29,LAA,AL,-0.3,1,1,0.5,8.25,3,3,0,0,0,0,12.0,12,11,11,4,7,0,5,0,0,0,54,52.0,8.42,1.583,9.0,3.0,5.3,3.8,0.71
Vinny Nittoli,2024,33,2TM,AL,0.4,0,1,0.0,1.5,9,0,2,0,0,0,12.0,10,2,2,1,2,0,8,0,0,0,46,277.0,3.42,1.0,7.5,0.8,1.5,6.0,4.0
Vinny Nittoli,2024,33,OAK,AL,0.2,0,1,0.0,2.25,7,0,1,0,0,0,8.0,8,2,2,1,2,0,5,0,0,0,32,184.0,4.29,1.25,9.0,1.1,2.3,5.6,2.5
Vinny Nittoli,2024,33,BAL,AL,0.2,0,0,,0.0,2,0,1,0,0,0,4.0,2,0,0,0,0,0,3,0,0,0,14,,1.67,0.5,4.5,0.0,0.0,6.8,
Nick Avila,2024,26,SFG,NL,-0.3,1,0,1.0,8.49,8,0,4,0,0,0,11.2,17,12,11,2,3,0,14,0,0,0,55,47.0,3.77,1.714,13.1,1.5,2.3,10.8,4.67
Jake Bloss,2024,23,HOU,AL,-0.2,0,1,0.0,6.94,3,3,0,0,0,0,11.2,16,9,9,5,3,0,11,0,0,2,55,59.0,7.62,1.629,12.3,3.9,2.3,8.5,3.67
Kumar Rocker,2024,24,TEX,AL,0.0,0,2,0.0,3.86,3,3,0,0,0,0,11.2,12,6,5,1,6,0,14,1,0,1,55,103.0,3.68,1.543,9.3,0.8,4.6,10.8,2.33
Peter Strzelecki,2024,29,CLE,AL,0.2,0,0,,2.31,10,0,6,0,0,0,11.2,11,3,3,1,3,0,9,1,0,0,47,179.0,3.77,1.2,8.5,0.8,2.3,6.9,3.0
Easton Lucas*,2024,27,3TM,AL,-0.6,1,0,1.0,10.8,8,0,2,0,0,0,11.2,17,15,14,1,9,0,10,1,0,0,61,41.0,5.14,2.229,13.1,0.8,6.9,7.7,1.11
Easton Lucas*,2024,27,OAK,AL,-0.2,0,0,,14.73,3,0,2,0,0,0,3.2,8,7,6,0,3,0,6,0,0,0,23,30.0,2.35,3.0,19.6,0.0,7.4,14.7,2.0
Easton Lucas*,2024,27,DET,AL,0.0,1,0,1.0,5.4,3,0,0,0,0,0,3.1,3,2,2,0,2,0,2,1,0,0,16,84.0,4.67,1.5,8.1,0.0,5.4,5.4,1.0
Easton Lucas*,2024,27,TOR,AL,-0.3,0,0,,11.57,2,0,0,0,0,0,4.2,6,6,6,1,4,0,2,0,0,0,22,38.0,7.67,2.143,11.6,1.9,7.7,3.9,0.5
Johnny Cueto,2024,38,LAA,AL,-0.2,0,2,0.0,7.15,2,2,0,0,0,0,11.1,14,9,9,4,3,1,6,0,0,0,50,60.0,7.49,1.5,11.1,3.2,2.4,4.8,2.0
Logan Gillaspie,2024,27,SDP,NL,-0.2,0,0,,7.15,9,0,4,0,0,0,11.1,15,9,9,2,0,0,7,1,0,0,49,59.0,4.49,1.324,11.9,1.6,0.0,5.6,
Yoendrys Gómez,2024,24,NYY,AL,0.1,0,0,,3.97,5,0,3,0,0,0,11.1,11,5,5,2,7,0,10,1,0,1,54,105.0,5.81,1.588,8.7,1.6,5.6,7.9,1.43
Kevin Herget,2024,33,MIL,NL,0.3,0,0,,1.59,7,0,5,0,0,1,11.1,6,2,2,1,3,0,9,0,0,0,43,264.0,3.52,0.794,4.8,0.8,2.4,7.1,3.0
Brett de Geus,2024,26,3TM,2LG,-0.2,0,2,0.0,7.15,13,0,5,0,0,0,11.1,14,10,9,0,4,0,7,3,1,0,52,63.0,3.78,1.588,11.1,0.0,3.2,5.6,1.75
Brett de Geus,2024,26,2TM,AL,-0.2,0,0,,7.94,6,0,3,0,0,0,5.2,7,5,5,0,2,0,3,2,1,0,25,55.0,4.22,1.588,11.1,0.0,3.2,4.8,1.5
Brett de Geus,2024,26,SEA,AL,0.1,0,0,,2.7,4,0,3,0,0,0,3.1,4,1,1,0,0,0,2,2,1,0,14,154.0,3.77,1.2,10.8,0.0,0.0,5.4,
Brett de Geus,2024,26,MIA,NL,-0.1,0,2,0.0,6.35,7,0,2,0,0,0,5.2,7,5,4,0,2,0,4,1,0,0,27,72.0,3.34,1.588,11.1,0.0,3.2,6.4,2.0
Brett de Geus,2024,26,TOR,AL,-0.2,0,0,,15.43,2,0,0,0,0,0,2.1,3,4,4,0,2,0,1,0,0,0,11,31.0,4.88,2.143,11.6,0.0,7.7,3.9,0.5
Ryan Borucki*,2024,30,PIT,NL,-0.3,0,0,,7.36,14,0,3,0,0,0,11.0,14,10,9,2,4,0,13,1,0,0,51,59.0,4.53,1.636,11.5,1.6,3.3,10.6,3.25
J.P. Feyereisen,2024,31,LAD,NL,-0.3,0,1,0.0,8.18,10,0,6,0,0,1,11.0,11,10,10,3,5,0,9,1,0,0,48,50.0,6.71,1.455,9.0,2.5,4.1,7.4,1.8
Parker Mushinski*,2024,28,HOU,AL,-0.3,0,0,,6.55,10,0,2,0,0,0,11.0,11,10,8,1,5,0,3,1,0,1,50,63.0,5.44,1.455,9.0,0.8,4.1,2.5,0.6
Sean Reynolds,2024,26,SDP,NL,0.3,0,0,,0.82,9,0,3,0,0,0,11.0,10,1,1,0,5,0,21,1,0,0,49,518.0,0.98,1.364,8.2,0.0,4.1,17.2,4.2
Josh Rogers*,2024,29,COL,NL,-0.1,2,0,1.0,6.55,6,0,2,0,0,0,11.0,15,8,8,1,3,1,3,2,0,0,50,73.0,5.17,1.636,12.3,0.8,2.5,2.5,1.0
Kai-Wei Teng,2024,25,SFG,NL,-0.3,0,0,,9.82,4,0,0,0,0,0,11.0,15,12,12,2,8,0,7,1,0,1,55,41.0,6.71,2.091,12.3,1.6,6.5,5.7,0.88
Joan Adon,2024,25,WSN,NL,-0.1,0,0,,6.75,8,1,5,0,0,0,10.2,12,8,8,2,4,0,6,1,0,0,48,62.0,5.88,1.5,10.1,1.7,3.4,5.1,1.5
Jacob deGrom,2024,36,TEX,AL,0.4,0,0,,1.69,3,3,0,0,0,0,10.2,11,2,2,1,1,0,14,1,0,0,44,237.0,2.32,1.125,9.3,0.8,0.8,11.8,14.0
Jaden Hill,2024,24,COL,NL,0.0,0,0,,5.06,9,0,2,0,0,0,10.2,8,7,6,2,4,0,6,2,0,1,45,94.0,6.17,1.125,6.8,1.7,3.4,5.1,1.5
Caleb Kilian,2024,27,CHC,NL,0.0,0,1,0.0,4.22,2,1,0,0,0,0,10.2,11,6,5,2,6,0,7,0,0,1,48,98.0,5.98,1.594,9.3,1.7,5.1,5.9,1.17
Kyle Nelson*,2024,27,ARI,NL,0.1,0,0,,4.22,11,0,4,0,0,0,10.2,8,5,5,2,4,1,8,0,0,0,42,102.0,5.23,1.125,6.8,1.7,3.4,6.8,2.0
Ricardo Pinto,2024,30,PHI,NL,-0.5,0,0,,10.97,6,0,5,0,0,1,10.2,19,14,13,2,5,0,8,2,0,0,59,40.0,6.07,2.25,16.0,1.7,4.2,6.8,1.6
Austin Warren,2024,28,SFG,NL,0.3,0,0,,1.69,6,0,3,0,0,0,10.2,9,2,2,1,5,0,7,0,0,0,42,239.0,4.48,1.313,7.6,0.8,4.2,5.9,1.4
Humberto Castellanos,2024,26,ARI,NL,-0.1,0,0,,5.23,7,0,4,0,0,1,10.1,11,6,6,0,4,0,7,2,0,1,48,83.0,3.55,1.452,9.6,0.0,3.5,6.1,1.75
Caden Dana,2024,20,LAA,AL,-0.5,1,2,0.333,9.58,3,3,0,0,0,0,10.1,14,12,11,5,7,0,8,1,0,0,52,45.0,10.23,2.032,12.2,4.4,6.1,7.0,1.14
Jacob Lopez*,2024,26,TBR,AL,0.0,0,0,,5.23,4,1,1,0,0,0,10.1,5,7,6,2,7,0,8,2,0,0,46,79.0,6.75,1.161,4.4,1.7,6.1,7.0,1.14
Joey Lucchesi*,2024,31,NYM,NL,0.0,0,2,0.0,5.23,2,2,0,0,0,0,10.1,8,6,6,1,8,0,7,0,0,1,46,76.0,5.39,1.548,7.0,0.9,7.0,6.1,0.88
Kirby Snead*,2024,29,SEA,AL,0.0,0,0,,4.35,11,0,2,0,0,0,10.1,12,5,5,0,7,0,7,0,0,0,48,88.0,3.84,1.839,10.5,0.0,6.1,6.1,1.0
Diego Castillo,2024,30,MIN,AL,0.2,0,0,,2.7,7,0,3,0,0,0,10.0,8,3,3,0,8,0,6,0,0,1,43,161.0,4.37,1.6,7.2,0.0,7.2,5.4,0.75
Luis Guerrero,2024,23,BOS,AL,0.5,0,0,,0.0,9,0,2,0,0,0,10.0,6,1,0,0,2,0,9,0,0,0,36,,1.97,0.8,5.4,0.0,1.8,8.1,4.5
Tyler Matzek*,2024,33,ATL,NL,-0.5,0,0,,9.9,11,0,1,0,0,0,10.0,16,11,11,3,3,0,10,0,0,2,48,44.0,5.97,1.9,14.4,2.7,2.7,9.0,3.33
Sean Newcomb*,2024,31,OAK,AL,-0.1,1,0,1.0,6.3,7,0,3,0,0,0,10.0,9,7,7,2,8,1,7,1,0,0,45,65.0,7.07,1.7,8.1,1.8,7.2,6.3,0.88
Jacob Waguespack,2024,30,TBR,AL,-0.1,0,0,,5.4,4,1,1,0,0,0,10.0,13,7,6,1,10,0,11,0,0,1,51,77.0,5.27,2.3,11.7,0.9,9.0,9.9,1.1
Joel Kuhnel,2024,29,2TM,AL,0.1,0,0,,4.5,6,0,3,0,0,0,10.0,8,5,5,1,0,0,5,1,0,0,39,95.0,3.77,0.8,7.2,0.9,0.0,4.5,
Joel Kuhnel,2024,29,HOU,AL,-0.1,0,0,,18.0,1,0,0,0,0,0,2.0,4,4,4,0,0,0,1,1,0,0,11,26.0,3.67,2.0,18.0,0.0,0.0,4.5,
Joel Kuhnel,2024,29,TBR,AL,0.2,0,0,,1.13,5,0,3,0,0,0,8.0,4,1,1,1,0,0,4,0,0,0,28,371.0,3.79,0.5,4.5,1.1,0.0,4.5,
Nick Burdi,2024,31,NYY,AL,0.3,1,0,1.0,1.86,12,0,1,0,0,0,9.2,5,2,2,1,9,0,12,2,0,3,45,224.0,5.44,1.448,4.7,0.9,8.4,11.2,1.33
Jhonathan Díaz*,2024,27,SEA,AL,-0.1,0,1,0.0,4.66,5,1,3,0,0,0,9.2,14,6,5,2,3,0,8,0,0,0,47,83.0,5.13,1.759,13.0,1.9,2.8,7.4,2.67
Randy Dobnak,2024,29,MIN,AL,0.0,0,0,,5.59,5,0,3,0,0,0,9.2,11,6,6,1,5,1,7,0,0,1,45,78.0,4.61,1.655,10.2,0.9,4.7,6.5,1.4
Mason Montgomery*,2024,24,TBR,AL,0.4,0,0,,1.86,9,0,1,0,0,0,9.2,6,2,2,0,5,0,17,0,0,0,37,222.0,1.2,1.138,5.6,0.0,4.7,15.8,3.4
Jack O'Loughlin*,2024,24,OAK,AL,0.1,0,0,,4.66,4,0,1,0,0,0,9.2,13,5,5,1,5,0,6,0,0,1,47,88.0,4.82,1.862,12.1,0.9,4.7,5.6,1.2
Luis Frías,2024,26,2TM,2LG,-0.8,0,1,0.0,13.97,11,0,5,0,0,0,9.2,19,16,15,2,7,0,12,0,0,2,53,32.0,5.55,2.69,17.7,1.9,6.5,11.2,1.71
Luis Frías,2024,26,ARI,NL,-0.4,0,1,0.0,9.95,7,0,4,0,0,0,6.1,11,8,7,1,4,0,7,0,0,1,31,44.0,4.9,2.368,15.6,1.4,5.7,9.9,1.75
Luis Frías,2024,26,TOR,AL,-0.4,0,0,,21.6,4,0,1,0,0,0,3.1,8,8,8,1,3,0,5,0,0,1,22,21.0,6.77,3.3,21.6,2.7,8.1,13.5,1.67
Lake Bachar,2024,29,MIA,NL,0.1,0,1,0.0,3.86,10,0,0,0,0,0,9.1,10,5,4,2,4,0,11,0,0,0,40,116.0,4.88,1.5,9.6,1.9,3.9,10.6,2.75
Casey Legumina,2024,27,CIN,NL,-0.3,0,0,,8.68,6,0,6,0,0,0,9.1,15,11,9,2,2,0,7,1,0,0,47,53.0,5.42,1.821,14.5,1.9,1.9,6.8,3.5
Tyler Duffey,2024,33,KCR,AL,0.0,1,0,1.0,5.0,9,0,0,0,0,0,9.0,7,5,5,0,8,0,10,1,0,0,42,85.0,3.94,1.667,7.0,0.0,8.0,10.0,1.25
Geoff Hartlieb,2024,30,COL,NL,-0.4,0,0,,9.0,5,0,0,0,0,0,9.0,13,10,9,1,4,1,7,0,1,2,44,53.0,4.39,1.889,13.0,1.0,4.0,7.0,1.75
Spencer Strider,2024,25,ATL,NL,-0.1,0,0,,7.0,2,2,0,0,0,0,9.0,10,7,7,2,5,0,12,0,0,0,42,62.0,5.05,1.667,10.0,2.0,5.0,12.0,2.4
Josh Winder,2024,27,MIN,AL,0.1,0,0,,3.0,4,0,2,0,0,0,9.0,7,4,3,0,1,0,10,2,0,0,38,145.0,1.94,0.889,7.0,0.0,1.0,10.0,10.0
Wes Parsons,2024,31,2TM,AL,0.0,0,0,,6.0,4,0,3,0,0,0,9.0,10,6,6,2,2,0,7,0,1,0,38,73.0,5.17,1.333,10.0,2.0,2.0,7.0,3.5
Wes Parsons,2024,31,TOR,AL,-0.2,0,0,,10.8,2,0,2,0,0,0,5.0,6,6,6,2,2,0,2,0,1,0,23,41.0,8.77,1.6,10.8,3.6,3.6,3.6,1.0
Wes Parsons,2024,31,CLE,AL,0.2,0,0,,0.0,2,0,1,0,0,0,4.0,4,0,0,0,0,0,5,0,0,0,15,,0.67,1.0,9.0,0.0,0.0,11.3,
Matt Carasiti,2024,32,COL,NL,-0.5,0,1,0.0,10.38,7,0,1,0,0,0,8.2,16,10,10,2,3,0,7,1,0,0,43,46.0,5.94,2.192,16.6,2.1,3.1,7.3,2.33
Paolo Espino,2024,37,TOR,AL,-0.3,0,1,0.0,8.31,3,1,0,0,0,0,8.2,14,8,8,3,5,0,3,1,0,0,44,51.0,9.05,2.192,14.5,3.1,5.2,3.1,0.6
Chase Shugart,2024,27,BOS,AL,0.0,0,0,,4.15,6,0,4,0,0,1,8.2,8,4,4,1,3,0,8,0,0,0,36,105.0,3.86,1.269,8.3,1.0,3.1,8.3,2.67
Andrew Walters,2024,23,CLE,AL,0.3,1,0,1.0,0.0,9,1,3,0,0,0,8.2,1,1,0,0,5,0,6,0,0,1,32,,3.51,0.692,1.0,0.0,5.2,6.2,1.2
Phil Bickford,2024,28,NYY,AL,-0.3,0,0,,8.64,8,0,4,0,0,0,8.1,10,9,8,1,1,0,6,1,0,0,39,49.0,4.01,1.32,10.8,1.1,1.1,6.5,6.0
Ben Casparius,2024,25,LAD,NL,0.2,2,0,1.0,2.16,3,0,0,0,0,0,8.1,9,3,2,0,4,0,12,0,0,0,37,192.0,1.73,1.56,9.7,0.0,4.3,13.0,3.0
Tyler Gilbert*,2024,30,PHI,NL,0.1,0,0,,3.24,6,0,2,0,0,0,8.1,10,3,3,1,2,0,4,1,0,1,38,136.0,4.85,1.44,10.8,1.1,2.2,4.3,2.0
Josiah Gray,2024,26,WSN,NL,-0.5,0,2,0.0,14.04,2,2,0,0,0,0,8.1,15,13,13,2,5,0,9,0,0,0,44,30.0,5.93,2.4,16.2,2.2,5.4,9.7,1.8
Jackson Rutledge,2024,25,WSN,NL,0.2,0,0,,3.24,3,1,1,0,0,0,8.1,8,3,3,1,2,0,9,1,0,0,34,130.0,3.65,1.2,8.6,1.1,2.2,9.7,4.5
Trey Wingenter,2024,30,2TM,2LG,-0.2,0,0,,9.72,7,0,5,0,0,0,8.1,13,9,9,2,4,0,6,0,0,1,42,45.0,6.29,2.04,14.0,2.2,4.3,6.5,1.5
Trey Wingenter,2024,30,BOS,AL,-0.2,0,0,,27.0,2,0,1,0,0,0,2.1,5,7,7,1,2,0,3,0,0,1,14,18.0,8.74,3.0,19.3,3.9,7.7,11.6,1.5
Trey Wingenter,2024,30,CHC,NL,0.1,0,0,,3.0,5,0,4,0,0,0,6.0,8,2,2,1,2,0,3,0,0,0,28,141.0,5.33,1.667,12.0,1.5,3.0,4.5,1.5
Connor Gillispie,2024,26,CLE,AL,0.2,0,0,,2.25,3,0,2,0,0,0,8.0,4,2,2,0,5,0,8,0,0,1,32,187.0,3.04,1.125,4.5,0.0,5.6,9.0,1.6
Nick Hernandez,2024,29,HOU,AL,-0.1,0,0,,7.88,5,0,2,0,0,0,8.0,10,7,7,4,1,0,10,0,0,0,34,53.0,7.54,1.375,11.3,4.5,1.1,11.3,10.0
Janson Junk,2024,28,2TM,2LG,-0.1,0,0,,14.63,6,0,2,0,0,0,8.0,22,13,13,3,4,0,8,0,0,1,48,30.0,5.17,3.25,24.8,3.4,4.5,9.0,2.0
Janson Junk,2024,28,MIL,NL,-0.1,0,0,,6.75,5,0,2,0,0,0,8.0,16,6,6,2,2,0,8,0,0,0,40,63.0,5.17,2.25,18.0,2.3,2.3,9.0,4.0
Janson Junk,2024,28,OAK,AL,0.0,0,0,,,1,0,0,0,0,0,0.0,6,7,7,1,2,0,0,0,0,1,8,2.0,,,,,,,0.0
Riley O'Brien,2024,29,STL,NL,-0.4,0,0,,11.25,8,0,4,0,0,0,8.0,13,10,10,2,8,0,11,1,0,1,46,38.0,7.04,2.625,14.6,2.3,9.0,12.4,1.38
Chase Silseth,2024,24,LAA,AL,-0.2,0,1,0.0,6.75,2,2,0,0,0,0,8.0,8,7,6,3,4,0,12,0,0,0,38,65.0,6.54,1.5,9.0,3.4,4.5,13.5,3.0
Gordon Graceffo,2024,24,STL,NL,0.0,0,1,0.0,4.7,2,1,1,0,0,0,7.2,7,4,4,1,2,0,6,0,0,0,31,92.0,4.08,1.174,8.2,1.2,2.3,7.0,3.0
Allan Winans,2024,28,ATL,NL,-0.6,0,2,0.0,15.26,2,2,0,0,0,0,7.2,14,14,13,3,4,0,4,0,0,0,41,29.0,8.77,2.348,16.4,3.5,4.7,4.7,1.0
Rob Zastryzny*,2024,32,MIL,NL,0.3,1,0,1.0,1.17,9,3,2,0,0,0,7.2,4,1,1,0,1,0,5,1,0,0,29,363.0,2.64,0.652,4.7,0.0,1.2,5.9,5.0
Tyler Jay*,2024,30,2TM,NL,0.0,0,0,,4.7,5,0,4,0,0,0,7.2,9,5,4,0,6,0,6,0,0,1,36,92.0,3.95,1.957,10.6,0.0,7.0,7.0,1.0
Tyler Jay*,2024,30,NYM,NL,-0.1,0,0,,7.71,3,0,2,0,0,0,4.2,7,5,4,0,3,0,3,0,0,1,24,54.0,3.81,2.143,13.5,0.0,5.8,5.8,1.0
Tyler Jay*,2024,30,MIL,NL,0.1,0,0,,0.0,2,0,2,0,0,0,3.0,2,0,0,0,3,0,3,0,0,0,12,,4.17,1.667,6.0,0.0,9.0,9.0,1.0
Brusdar Graterol,2024,25,LAD,NL,0.1,0,0,,2.45,7,0,2,0,0,0,7.1,3,2,2,0,2,0,7,0,0,0,27,170.0,2.08,0.682,3.7,0.0,2.5,8.6,3.5
Gregory Santos,2024,24,SEA,AL,-0.1,0,1,0.0,4.91,8,0,1,0,0,0,7.1,7,4,4,0,1,0,6,1,1,0,31,80.0,2.35,1.091,8.6,0.0,1.2,7.4,6.0
Will Klein,2024,24,2TM,AL,-0.3,1,0,1.0,11.05,8,0,2,0,0,0,7.1,12,9,9,0,6,0,7,0,0,1,38,41.0,3.71,2.455,14.7,0.0,7.4,8.6,1.17
Will Klein,2024,24,KCR,AL,-0.1,1,0,1.0,6.35,5,0,2,0,0,0,5.2,10,4,4,0,2,0,6,0,0,0,27,69.0,2.11,2.118,15.9,0.0,3.2,9.5,3.0
Will Klein,2024,24,OAK,AL,-0.3,0,0,,27.0,3,0,0,0,0,0,1.2,2,5,5,0,4,0,1,0,0,1,11,18.0,9.17,3.6,10.8,0.0,21.6,5.4,0.25
Nabil Crismatt,2024,29,LAD,NL,0.1,1,1,0.5,2.57,5,0,4,0,0,0,7.0,7,3,2,1,0,0,6,0,0,0,26,163.0,3.31,1.0,9.0,1.3,0.0,7.7,
Austin Davis*,2024,31,SDP,NL,-0.2,0,0,,9.0,7,0,0,0,0,0,7.0,6,8,7,0,5,0,6,2,0,0,33,48.0,4.45,1.571,7.7,0.0,6.4,7.7,1.2
Austin Kitchen*,2024,27,MIA,NL,-0.5,0,1,0.0,14.14,4,1,1,0,0,0,7.0,16,12,11,1,3,0,4,0,1,0,42,32.0,5.17,2.714,20.6,1.3,3.9,5.1,1.33
